N.º,Año,Departamento,Provincia,Edad,Relacion con la víctima,Forma del feminicidio,Lugar de ocurrencia
479,2012,Puno,Chucuito,25,Pareja o ex pareja,Golpeada,Fuera de Casa
480,2012,Lima,Lima,35,Pareja o ex pareja,Acuchillada,Casa
481,2012,Lima,Lima,25,Pareja o ex pareja,No se ha determinado por avanzado estado de descomposición,Casa
482,2012,Amazonas,Bongará,33,Pareja o ex pareja,Baleada,Fuera de Casa
483,2012,Puno,Puno,29,Pareja o ex pareja,Acuchillada,Casa
484,2012,Lima,Lima,29,Pareja o ex pareja,Baleada,Casa
485,2012,Cajamarca,Chota,31,Pareja o ex pareja,Baleada,Fuera de Casa
486,2012,Lima,Lima,26,Pareja o ex pareja,Golpeada,Casa
487,2012,Ucayali,Padre Abad,33,Pareja o ex pareja,Golpeada,Fuera de Casa
488,2012,Loreto,Alto Amazonas,24,Pareja o ex pareja,Acuchillada,Fuera de Casa
489,2012,Pasco,Oxapampa,25,Pareja o ex pareja,Golpeada,Casa
490,2012,Puno,Azángaro,19,Pareja o ex pareja,Acuchillada,Fuera de Casa
491,2012,Piura,Piura,54,Familia,Baleada,Casa
492,2012,Arequipa,Arequipa,20,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
493,2012,Huancavelica,Acobamba,41,Pareja o ex pareja,Golpeada,Fuera de Casa
494,2012,Tacna,Tacna,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
495,2012,Cajamarca,Chota,30,Pareja o ex pareja,Baleada,Casa
496,2012,Callao,Callao,31,Pareja o ex pareja,Acuchillada,Casa
497,2012,Ica,Chincha,20,Pareja o ex pareja,Degollada,Fuera de Casa
498,2012,Loreto,Maynas,23,Pareja o ex pareja,Golpeada,Casa
499,2012,Huánuco,Huánuco,26,Pareja o ex pareja,Baleada,Fuera de Casa
500,2012,Arequipa,Camaná,81,Pareja o ex pareja,Baleada,Casa
501,2012,Huánuco,Huánuco,45,Pareja o ex pareja,Golpeada,Fuera de Casa
502,2012,Áncash,Pomabamba,51,Pareja o ex pareja,Acuchillada,Casa
503,2012,Huancavelica,Churcampa,24,Pareja o ex pareja,Envenenada,Casa
504,2012,Lambayeque,Chiclayo,32,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
505,2012,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
506,2012,Lima,Lima,49,Pareja o ex pareja,Acuchillada,Fuera de Casa
507,2012,Junín,Yauli,28,Pareja o ex pareja,Acuchillada,Casa
508,2012,La Libertad,Otuzco,21,Pareja o ex pareja,Baleada,Casa
509,2012,Huancavelica,Huancavelica,47,Pareja o ex pareja,Baleada,Casa
510,2012,Lima,Lima,42,Pareja o ex pareja,Acuchillada,Casa
511,2012,Lima,Lima,71,Familia,Acuchillada,Casa
512,2012,Lima,Cañete,79,Desconocido que atacó sexualmente a la víctima,Golpeada,Casa
513,2012,Áncash,Yungay,18,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
514,2012,Ayacucho,Huamanga,63,Pareja o ex pareja,Golpeada,Casa
515,2012,Áncash,Santa,41,Pareja o ex pareja,Desbarrancada,Fuera de Casa
516,2012,Pasco,Pasco,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
517,2012,Junín,Chupaca,15,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
518,2012,Tacna,Tacna,37,Pareja o ex pareja,Asfixiada o estrangulada,Casa
519,2012,Lima,Lima,31,Pareja o ex pareja,Golpeada,Fuera de Casa
520,2012,Puno,Huancané,35,Pareja o ex pareja,Golpeada,Casa
521,2012,Tacna,Tacna,35,Pareja o ex pareja,Golpeada,Casa
522,2012,Amazonas,Bagua,12,Pareja o ex pareja,Desbarrancada,Fuera de Casa
523,2012,Tacna,Tacna,26,Conocido,Asfixiada o estrangulada,Fuera de Casa
524,2012,Ayacucho,La Mar,33,Pareja o ex pareja,Acuchillada,Casa
525,2012,Madre de Dios,Tambopata,22,Pareja o ex pareja,Baleada,Fuera de Casa
526,2012,Callao,Callao,22,Pareja o ex pareja,Degollada,Casa
527,2012,Cajamarca,Jaén,24,Pareja o ex pareja,Baleada,Fuera de Casa
528,2012,Lima,Lima,29,Pareja o ex pareja,Desbarrancada,Casa
529,2012,Huánuco,Huánuco,44,Pareja o ex pareja,Golpeada,Casa
530,2012,San Martín,Rioja,22,Pareja o ex pareja,Acuchillada,Fuera de Casa
531,2012,Callao,Callao,51,Familia,Acuchillada,Casa
532,2012,La Libertad,Trujillo,25,Pareja o ex pareja,Degollada,Fuera de Casa
533,2012,Tacna,Tacna,24,Pareja o ex pareja,Acuchillada,Casa
534,2012,Lima,Lima,31,Pareja o ex pareja,Acuchillada,Casa
535,2012,Lima,Lima,50,Familia,Acuchillada,Casa
536,2012,Lima,Lima,39,Pareja o ex pareja,Baleada,Casa
537,2012,Lima,Huaura,51,Pareja o ex pareja,Acuchillada,Fuera de Casa
